ID,Vehicle Type,Year,vhkm
156,Special purpose vehicle,1991,313.0
157,Special purpose vehicle,1992,317.0
158,Special purpose vehicle,1993,306.0
159,Special purpose vehicle,1994,304.0
160,Special purpose vehicle,1995,287.0
161,Special purpose vehicle,1996,296.0
162,Special purpose vehicle,1997,304.0
163,Special purpose vehicle,1998,314.0
164,Special purpose vehicle,1999,327.0
165,Special purpose vehicle,2000,355.0
166,Special purpose vehicle,2001,377.2
167,Special purpose vehicle,2002,382.3
168,Special purpose vehicle,2003,391.0
169,Special purpose vehicle,2004,399.9
170,Special purpose vehicle,2005,427.1
171,Special purpose vehicle,2006,459.0
172,Special purpose vehicle,2007,472.1
173,Special purpose vehicle,2008,487.5
174,Special purpose vehicle,2009,499.3
175,Special purpose vehicle,2010,478.8
176,Special purpose vehicle,2011,499.3
177,Special purpose vehicle,2012,473.7
178,Special purpose vehicle,2013,453.5
179,Special purpose vehicle,2014,441.6
180,Special purpose vehicle,2015,436.3
181,Special purpose vehicle,2016,461.5
182,Special purpose vehicle,2017,465.5
183,Special purpose vehicle,2018,459.4
184,Special purpose vehicle,2019,450.5
185,Special purpose vehicle,2020,434.2
186,Bus,1990,621.0
187,Bus,1991,625.0
188,Bus,1992,622.0
189,Bus,1993,621.0
190,Bus,1994,621.0
191,Bus,1995,644.0
192,Bus,1996,645.0
193,Bus,1997,621.0
194,Bus,1998,619.0
195,Bus,1999,622.0
196,Bus,2000,633.0
197,Bus,2001,623.4
198,Bus,2002,630.9
199,Bus,2003,609.7
200,Bus,2004,594.9
201,Bus,2005,594.5
202,Bus,2006,589.2
203,Bus,2007,611.2
204,Bus,2008,626.2
205,Bus,2009,649.5
206,Bus,2010,661.6
207,Bus,2011,661.0
208,Bus,2012,643.5
209,Bus,2013,641.9
210,Bus,2014,624.0
211,Bus,2015,622.9
212,Bus,2016,611.3
213,Bus,2017,654.5
214,Bus,2018,664.8
215,Bus,2019,638.7
216,Bus,2020,507.7
